Week	Date	Status	Author	Title	URL
7	2018-10-09	0	Elkner et al	Chapter 11 - Files	https://runestone.academy/runestone/static/LING402/Files/toctree.html
7	2018-10-09	0	Bird et al	Chapter 3 - Processing raw text	http://www.nltk.org/book/ch03.html
7	2018-10-09	0	Python Tutorial	Chapter 7 - Input and Output	https://docs.python.org/3/tutorial/inputoutput.html
7	2018-10-09	0	Bryce	Using Python's re module to process text files	https://www.youtube.com/playlist?list=PLydysiDoFy5W9pBtjZRRySaJr8CwaGWoW
