Week	Date	Status	Author	Title	URL
5	2018-09-27	0	Python Tutorial	Chapter 4 - "More Control Flow Tools"	https://docs.python.org/3/tutorial/controlflow.html
5	2018-09-27	0	Elkner et al	Chapter 8 - "More About Iteration"	https://runestone.academy/runestone/static/LING402/MoreAboutIteration/toctree.html
5	2018-09-27	0	Bird et al	Chapter 1 - "Language processing and Python"	http://www.nltk.org/book/ch01.html
5	2018-09-27	0	Bryce	09-26 videos, if not viewed already	https://www.youtube.com/playlist?list=PLydysiDoFy5UO2GPjfnpivzrl93inJp2X
