Week	Date	Status	Author	Title	URL
3	2018-09-11	0	Elkner et al	Chapter 1 - "General Introduction"	https://runestone.academy/runestone/static/LING402/GeneralIntro/toctree.html
3	2018-09-11	0	Shotts	Chapter 8 - "Advanced keyboard tricks"	
3	2018-09-11	0	Ramey	Sections 8.1 & 8.2 - "Introduction to Line Editing & Readline Interaction"	
3	2018-09-11	0	Ramey	Chapter 9 - "Using History Interactively"	
3	2018-09-11	0	Shotts	Chapter 9 - "Permissions"	
3	2018-09-11	0	Shotts	Chapter 11 - "The environment"	
3	2018-09-11	0	Schwartz	Video lecture: Adding a directory to your PATH	https://www.youtube.com/watch?v=2TfAG7MaE0M
3	2018-09-11	0	Bryce	Video lectures on programming concepts; bash history, permissions, and environment	https://www.youtube.com/watch?v=pkbrlz-WxJs&list=PLydysiDoFy5UNmI5GOYJSBqvuawdpMNMg
3	2018-09-11	0	Bird et al	Chapter 0 - "Preface"	http://www.nltk.org/book/ch00.html
