Week	Date	Status	Author	Title	URL
4	2018-09-18	0	Elkner et al	Chapter 3 - Debugging Interlude 1	https://runestone.academy/runestone/static/LING402/SimplePythonData/toctree.html
4	2018-09-18	0	Shotts	Chapter 28 - Reading keyboard input	
4	2018-09-18	0	Shotts	Chapter 29 - Flow control&#58; Looping with while and until	
4	2018-09-18	0	Shotts	Chapter 30 - Troubleshooting	
4	2018-09-18	0	Shotts	Chapter 31 - Flow control&#58; Branching with case	
4	2018-09-18	0	Shotts	Chapter 32 - Positional parameters	
4	2018-09-18	0	Bryce	Video lectures on control flow, troubleshooting, and positional parameters	https://www.youtube.com/playlist?list=PLydysiDoFy5W_doaLmEtxXVBe2Rpwffjr
