Week	Date	Status	Author	Title	URL
4	2018-09-20	0	Shotts	Chapter 17 - Searching for files	
4	2018-09-20	0	Shotts	Chapter 33 - Flow control&#58; Looping with for	
4	2018-09-20	0	Shotts	Chapter 34 - Strings and numbers	
4	2018-09-20	0	Shotts	Chapter 35 - Arrays	
4	2018-09-20	0	Elkner et al	Chapter 4 - Python Turtle Graphics	https://runestone.academy/runestone/static/LING402/PythonTurtle/toctree.html
4	2018-09-20	0	Elkner et al	Chapter 5 - Python Modules	https://runestone.academy/runestone/static/LING402/PythonModules/toctree.html
4	2018-09-20	0	Bryce	Video lectures on finding files, bash arrays, and python modules	https://www.youtube.com/playlist?list=PLydysiDoFy5WvTenI0nYi8x6iOcOqMBDG
