Week	Date	Status	Author	Title	URL
3	2018-09-13	0	Elkner et al	Chapter 2 - "Simple Python Data"	https://runestone.academy/runestone/static/LING402/SimplePythonData/toctree.html
3	2018-09-13	0	Shotts	Chapter 10 - "Processes"	
3	2018-09-13	0	Shotts	Chapter 25 - "Starting a project"	
3	2018-09-13	0	Shotts	Chapter 26 - "Top-down design"	
3	2018-09-13	0	Shotts	Chapter 27 - "Flow control&#58; Branching with if"	
3	2018-09-13	0	Bryce	Video lectures on bash and python concepts	https://www.youtube.com/playlist?list=PLydysiDoFy5UR0JVDOYI48Wyzz76kC0bb
