Week	Date	Status	Author	Title	URL
5	2018-09-25	0	Elkner et al	Appendix - "Debugging"	https://runestone.academy/runestone/static/LING402/Appendices/errorsAndDebug.html
5	2018-09-25	0	Elkner et al	Chapter 6 - "Functions"	https://runestone.academy/runestone/static/LING402/Functions/toctree.html
5	2018-09-25	0	Elkner et al	Chapter 7 - "Selection"	https://runestone.academy/runestone/static/LING402/Selection/toctree.html
5	2018-09-25	0	Python Tutorial	Chapter 1 - "Whetting Your Appetite"	https://docs.python.org/3/tutorial/appetite.html
5	2018-09-25	0	Python Tutorial	Chapter 2 - "Using the Python Interpreter"	https://docs.python.org/3/tutorial/interpreter.html
5	2018-09-25	0	Python Tutorial	Chapter 3 - "An Informal Introduction to Python"	https://docs.python.org/3/tutorial/introduction.html
5	2018-09-25	0	Bryce	Videos on Python control flow and programming concepts	https://www.youtube.com/playlist?list=PLydysiDoFy5UO2GPjfnpivzrl93inJp2X
